CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,Latitude,Longitude,Lat_Lon
533709355,12/08/2016,05:30:00,01/05/2017,10:30:00,01/05/2017,341,PETIT LARCENY,339,"LARCENY,PETIT FROM OPEN AREAS,",COMPLETED,MISDEMEANOR,N.Y. TRANSIT POLICE,BRONX,40,,TRANSIT - NYC SUBWAY,40.818568337,-73.927313946,"(40.818568337, -73.927313946)"
327430275,12/08/2016,09:00:00,,,01/04/2017,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,43,FRONT OF,PUBLIC SCHOOL,40.814615472,-73.856538901,"(40.814615472, -73.856538901)"
723204512,12/08/2016,23:00:00,12/09/2016,16:00:00,01/03/2017,110,GRAND LARCENY OF MOTOR VEHICLE,441,"LARCENY,GRAND OF AUTO",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,77,OPPOSITE OF,STREET,40.676923734,-73.956291939,"(40.676923734, -73.956291939)"
804452817,12/08/2016,12:00:00,,,01/03/2017,109,GRAND LARCENY,432,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,28,INSIDE,RESIDENCE - APT. HOUSE,40.807665162,-73.951206685,"(40.807665162, -73.951206685)"
985989195,12/08/2016,08:00:00,12/20/2016,17:00:00,01/03/2017,109,GRAND LARCENY,422,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,17,INSIDE,RESIDENCE - APT. HOUSE,40.748066409,-73.980628042,"(40.748066409, -73.980628042)"
464805524,12/08/2016,20:00:00,12/08/2016,20:05:00,01/02/2017,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,94,FRONT OF,STREET,40.730045792,-73.955921546,"(40.730045792, -73.955921546)"
127522907,12/08/2016,08:00:00,12/31/2016,17:00:00,01/02/2017,109,GRAND LARCENY,422,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",COMPLETED,FELONY,N.Y. POLICE DEPT,STATEN ISLAND,121,INSIDE,RESIDENCE-HOUSE,40.599466823,-74.124751704,"(40.599466823, -74.124751704)"
471211326,12/09/2016,23:40:00,06/19/2017,09:00:00,06/21/2017,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,MANHATTAN,25,INSIDE,RESIDENCE - PUBLIC HOUSING,40.801508692,-73.939519305,"(40.801508692, -73.939519305)"
654244655,12/09/2016,08:00:00,05/01/2017,13:00:00,06/17/2017,341,PETIT LARCENY,349,"LARCENY,PETIT OF LICENSE PLATE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,114,FRONT OF,PARKING LOT/GARAGE (PUBLIC),40.773992173,-73.893326777,"(40.773992173, -73.893326777)"
250319512,12/09/2016,12:00:00,12/13/2016,12:00:00,06/01/2017,109,GRAND LARCENY,403,"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,104,INSIDE,RESIDENCE-HOUSE,40.724462652,-73.905311726,"(40.724462652, -73.905311726)"
